id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品,不含牛肉,不含豬肉,不含禽肉,不含海鮮,不含花生,不含堅果,不含芝麻,不含麩質,不含大豆,不含蛋品,不含牛/羊奶,全素,蛋素,奶素,奶蛋素,植物五辛素
910569,四川風味麻婆豆腐燴飯,464.0,1,710.0,102.1,30.2,20.0,3.2,0.0,1151.0,4.6,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1220214,炸醬炒泡麵,318.0,1,773.0,89.0,17.2,38.8,11.6,0.0,1472.0,7.0,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1240181,海鮮明太子風奶香義大利麵,328.0,1,466.0,63.6,22.6,13.4,3.6,0.0,987.0,3.0,1,0,1,0,1,1,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517741,藍莓優格三明治,59.0,1,142.0,23.4,4.1,3.6,1.8,0.0,200.0,3.3,1,0,1,0,1,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536571,水果派對三明治,94.0,1,165.0,26.6,3.9,4.8,2.8,0.0,200.0,8.9,1,0,1,0,1,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
544762,彩蔬洋芋三明治,123.0,1,234.0,30.3,5.8,10.0,1.8,0.0,344.0,6.4,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
554650,香雞蛋堡,116.0,1,254.0,28.1,11.9,10.4,2.4,0.0,583.0,2.7,1,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90331,青檸烤雞握沙拉,136.0,1,228.0,26.7,9.8,9.2,1.5,0.0,598.0,4.6,1,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
148605,青醬優格雞肉握沙拉,133.0,1,267.0,26.6,11.3,12.9,2.3,0.0,599.0,5.7,1,0,1,0,1,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361435,雙色地瓜雞肉握沙拉,142.0,1,314.0,43.6,6.5,12.6,2.1,0.0,544.0,14.6,1,0,0,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
