id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品
448063,明太子鮭魚冷義大利麵,256,1,348,44.5,13.6,12.8,3.1,0,765,1.5,1,0,1,0,1,1,0,0,0,1,0,1
448077,日式蔥鹽雞肉冷麵,311,1,435,70.9,15.2,10,1.9,0,1185,3.4,1,0,1,0,0,0,0,1,0,1,0,0
477731,皮蛋辣拌麵,341,1,621,73.3,22.5,26.3,6.1,0,1163,6.5,1,0,1,0,0,0,0,1,0,1,0,0
496189,白蘭地椰香嫩雞飯,414,1,546,85.7,17,14.9,7,0,903,0,1,1,1,0,1,0,0,0,0,1,0,1
496193,黑纖雞肉粥,500,1,291,29.5,15,12.5,2.5,0,870,3,1,0,1,0,0,0,0,1,0,0,0,0
496220,海之味漁夫飯,327,1,425,84.4,13.4,3.6,1.3,0,1086,4.3,1,0,1,0,1,0,0,0,0,1,0,1
496248,糖燻野郎熟成牛飯,333,1,656,97.2,14.7,23,7.7,0,1152,13,1,0,1,0,1,0,0,1,0,1,0,1
496284,壹號醬鹽蔥雞豚飯,343,1,621,96,20.9,16.8,5.5,0,1142,7.9,1,0,1,0,1,0,0,1,0,1,0,1
502762,嘉義劉里長雞肉飯,354,1,563,93.8,19.5,12,2.8,0,789,2.5,1,0,1,0,0,0,0,0,0,1,0,1
505247,嘉義劉里長剝皮瓜仔雞飯,391,1,497,95,17.2,5.5,1.6,0,989,5.9,1,0,1,0,0,0,0,0,0,1,0,0
554678,（素）咖哩Ｇ燴飯,472,1,618,99.6,20.3,15.6,1.9,0,1567,11.8,1,0,1,0,1,0,0,1,0,1,0,0
910537,香滑嫩蛋牛肉燴飯,470,1,479,71.9,19.3,12.7,4.7,0.5,1119,2.8,1,0,1,0,1,0,0,1,0,1,0,1
910569,四川風味麻婆豆腐燴飯,464,1,710,102.1,30.2,20,3.2,0,1151,4.6,1,0,1,0,0,0,0,1,0,1,0,0
1220214,炸醬炒泡麵,318,1,773,89,17.2,38.8,11.6,0,1472,7,1,0,1,0,0,0,0,1,0,0,0,0
1240181,海鮮明太子風奶香義大利麵,328,1,466,63.6,22.6,13.4,3.6,0,987,3,1,0,1,0,1,1,0,0,0,1,0,1
475539,白醬蕈菇蛋堡,106,1,196,25.9,8.7,6.5,2,0,459,5.2,1,0,1,0,1,0,0,0,0,1,0,0
507944,芋見香鬆三明治,77,1,187,29.4,5.3,5.3,1.4,0,258,7.2,1,0,1,0,1,0,0,1,0,1,0,0
517741,藍莓優格三明治,59,1,142,23.4,4.1,3.6,1.8,0,200,3.3,1,0,1,0,1,0,0,0,0,1,0,0
536571,水果派對三明治,94,1,165,26.6,3.9,4.8,2.8,0,200,8.9,1,0,1,0,1,0,0,0,0,0,0,0
544762,彩蔬洋芋三明治,123,1,234,30.3,5.8,10,1.8,0,344,6.4,1,0,0,0,0,0,0,0,0,1,0,0
554650,香雞蛋堡,116,1,254,28.1,11.9,10.4,2.4,0,583,2.7,1,0,1,0,1,0,0,0,0,1,0,0
90331,青檸烤雞握沙拉,136,1,228,26.7,9.8,9.2,1.5,0,598,4.6,1,0,1,0,0,0,0,0,0,1,0,0
148605,青醬優格雞肉握沙拉,133,1,267,26.6,11.3,12.9,2.3,0,599,5.7,1,0,1,0,1,0,0,0,1,1,0,1
361435,雙色地瓜雞肉握沙拉,142,1,314,43.6,6.5,12.6,2.1,0,544,14.6,1,0,0,0,1,0,0,0,0,1,0,0
367013,五色海藻沙拉,160,1,38.4,8,1.6,0,0,0,235,5.6,1,0,1,0,0,0,0,1,0,0,0,0
401863,蕃茄蛋洋芋握沙拉,140,1,249,24.1,8.7,13.2,2.7,0,353,5.6,1,0,0,0,0,0,0,0,0,1,0,0
430204,十品目田園沙拉,180,1,71.2,16.2,1.6,0,0,0,30.2,11.9,0,0,0,0,0,0,0,0,0,0,0,0
432947,凱薩沙拉,130,1,47.2,8.3,1.7,0.8,0.1,0,38.5,3.4,1,0,1,0,0,0,0,0,0,0,0,0
441920,優格鮪魚沙拉,100,1,157,20.6,4.7,6.2,1.9,0,232,10.1,0,0,1,0,1,0,0,0,0,1,0,1
513915,烤雞蒟蒻麵沙拉,170,1,121,8.5,7.5,6.3,1.7,0,371,7.8,1,0,1,0,0,0,0,1,0,0,0,0
25146,招牌高麗菜鍋貼,56,3,106,9.9,3.8,5.8,1.6,0,225,1.5,1,0,1,0,0,0,0,1,0,0,0,0
95240,鮮筍排骨湯,320,1,159.4,2.9,18.2,8.3,2.9,0,490,1.9,1,0,1,0,0,0,0,0,0,0,0,0
153448,雙起司蔥抓餅,130,1,403,45.8,10.8,19.6,8.5,0,590,3.5,1,1,1,0,1,0,0,0,0,0,0,0
153452,小滷青蔬,167,1,65,7.3,2.3,2.8,0.5,0,798,2.7,1,0,1,0,0,0,0,0,0,0,0,0
204883,黃金霸王腿條,88,1,241,10.6,11.3,17,5.7,0,555,0.2,1,0,1,0,1,0,0,0,0,1,0,0
204906,香辣霸王雞球,96,1,292,16.3,13.6,19.2,7.1,0,658,0,1,0,1,0,1,0,0,0,0,1,0,0
204910,日式唐揚雞,75,1,164,10.5,11.9,8.3,3,0,330,0.5,1,0,1,0,1,0,0,0,0,1,0,0
204924,匈牙利香草烤雞翅,95,1,202,1.5,19.4,13.1,3,0,500,0.6,1,0,0,0,1,0,0,0,0,0,0,0
204938,沙茶香辣雞胗,110,1,225.6,5.9,24.4,11.6,1.8,0,925,5,1,1,1,0,0,1,0,1,0,0,0,1
204942,蒜香綜合滷味,105,1,229.8,6.5,18.6,14.4,3.9,0,595,3.7,1,0,1,0,0,0,0,1,0,1,0,0
289752,日式溫泉蛋,40,2,57,0.8,5.4,3.6,1.3,0,189,0.2,1,0,1,0,0,0,0,0,0,1,0,0
344516,雞汁油蔥手工麵線,220,1,290,39.2,9.2,10.8,1.5,0,532,0.9,1,0,1,0,0,0,0,1,0,0,0,0
